Country Name	Country Code	Time	Time Code	Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS]	Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]	GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]	Income share held by lowest 20% [SI.DST.FRST.20]	Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]	Income share held by second 20% [SI.DST.02ND.20]	Income share held by third 20% [SI.DST.03RD.20]	Income share held by highest 20% [SI.DST.05TH.20]	Income share held by fourth 20% [SI.DST.04TH.20]	GINI index (World Bank estimate) [SI.POV.GINI]
Netherlands	NLD	2014	YR2014	218.348.044.065.833	117.584.897.918.383	141.969.029.584.088	8.8	0.149996599425435	13.7	17.4	37.7	22.4	28.6
Spain	ESP	2005	YR2005	155.568.009.147.121	267.203.508.567.511	372.300.178.841.655	7	414.949.128.635.482	12.8	17.4	39.6	23.2	32.4
Spain	ESP	2006	YR2006	178.960.072.382.819	329.898.210.467.456	417.412.318.641.999	7.1	397.820.011.738.459	12.7	17.3	39.7	23.2	32.5
Spain	ESP	2007	YR2007	199.817.543.742.777	737.728.221.539.755	376.899.240.771.773	6.8	333.113.960.206.479	12.6	17.2	40.1	23.3	33.1
Spain	ESP	2008	YR2008	223.154.113.194.024	795.577.881.032.098	111.768.686.002.978	6.6	21.354.413.924.831	12.3	17	41	23.1	34.2
Spain	ESP	2009	YR2009	233.833.865.281.747	134.787.403.754.966	-357.375.144.869.157	6.3	0.252533821159773	12.2	16.9	41.5	23.1	34.9
Spain	ESP	2010	YR2010	240.990.623.858.049	410.200.541.172.815	0.0140638777627089	6.3	0.160418589650931	12	16.8	41.7	23.2	35.3
Spain	ESP	2011	YR2011	248.931.149.452.239	317.821.395.610.739	-0.998764958114961	6	0.0289681994581912	11.8	16.9	41.8	23.5	35.7
Spain	ESP	2012	YR2012	245.570.317.796.916	249.151.589.810.555	-292.775.050.717.711	6.1	0.067950145579772	11.9	17	41.7	23.4	35.4
Spain	ESP	2013	YR2013	223.604.138.860.263	522.876.906.105.803	-170.570.500.034.654	5.7	0.353610344532711	11.7	17	41.9	23.7	36.2
Spain	ESP	2014	YR2014	211.247.807.905.032	348.897.569.007.872	137.999.723.824.269	5.7	-0.194983880276894	11.8	17	41.9	23.6	36
Austria	AUT	2005	YR2005	125.979.715.519.467	812.879.163.022.176	214.068.260.282.905	8.8	264.157.881.981.843	13.4	17.5	37.5	22.8	28.7
Austria	AUT	2006	YR2006	125.660.297.258.148	104.974.471.955.608	33.508.313.470.179	8.6	199.391.486.843.057	13.3	17.2	38.3	22.6	29.6
Austria	AUT	2007	YR2007	122.698.602.289.466	688.853.596.363.474	362.151.043.328.871	8	232.564.954.301.115	13.1	17.3	38.7	22.9	30.6
Austria	AUT	2008	YR2008	126.300.240.899.169	631.079.739.127.563	15.472.638.218.081	8	186.913.232.045.107	13.3	17.5	38.6	22.6	30.4
Austria	AUT	2009	YR2009	135.092.198.754.899	142.932.134.311.855	-379.907.504.488.268	7.7	192.580.083.686.941	13	17.4	39.3	22.6	31.5
Austria	AUT	2010	YR2010	135.058.647.506.102	-220.055.971.606.968	192.867.305.546.172	8	0.782424019773089	13.2	17.5	38.4	22.9	30.3
Austria	AUT	2011	YR2011	132.087.437.517.061	229.743.902.925.696	280.799.994.890.108	7.8	194.711.933.425.708	13.1	17.4	38.7	23	30.8
Austria	AUT	2012	YR2012	135.253.691.601.373	52.196.301.774.195	0.745756081086228	8	198.807.693.205.451	13	17.2	39.2	22.6	31.1
Austria	AUT	2013	YR2013	13.042.565.501.179	451.322.440.339.745	0.124223536253297	8.1	152.369.063.126.685	13	17.2	39	22.7	30.9
Austria	AUT	2014	YR2014	125.433.769.781.791	171.237.434.900.631	0.644844842830935	8.1	216.678.687.722.745	13.2	17.5	38.7	22.7	30.5
Belgium	BEL	2005	YR2005	100.753.240.649.183	336.838.301.581.205	209.427.270.847.185	8.6	213.603.090.882.322	13.6	17.3	38.2	22.2	29.3
Belgium	BEL	2006	YR2006	106.000.359.392.779	588.276.963.328.344	250.614.011.546.131	8.7	230.988.295.270.105	13.9	17.7	36.9	22.7	28
Belgium	BEL	2007	YR2007	108.786.597.526.925	965.879.211.274.395	344.897.379.169.034	8.6	200.749.802.769.596	13.6	17.4	38	22.3	29.2
Belgium	BEL	2008	YR2008	110.601.444.533.348	190.542.715.162.038	0.78317303775475	8.7	191.521.907.726.285	13.9	17.6	37.2	22.7	28.4
Belgium	BEL	2009	YR2009	116.053.593.500.336	865.279.761.386.549	-225.317.463.494.594	8.5	0.778103162472533	13.9	17.7	37.2	22.7	28.5
Belgium	BEL	2010	YR2010	113.679.110.272.377	111.490.238.331.287	274.421.327.182.894	8.6	188.309.128.562.298	13.9	17.8	37.2	22.5	28.4
Belgium	BEL	2011	YR2011	114.000.743.327.135	158.028.565.815.979	179.830.265.913.084	8.6	200.184.729.244.295	14	18	36.8	22.7	28.1
Belgium	BEL	2012	YR2012	113.234.551.423.342	668.331.861.852.526	0.234796924396491	8.7	197.466.856.958.044	14.1	18	36.4	22.8	27.5
Belgium	BEL	2013	YR2013	112.062.808.820.313	-283.752.089.094.075	0.200650443652648	8.6	104.620.485.805.698	14.1	18	36.4	23	27.7
Belgium	BEL	2014	YR2014	154.460.461.237.678	-239.311.106.548.989	135.143.423.716.137	8.6	0.665469321921151	13.9	17.8	36.8	22.8	28.1
Cyprus	CYP	2005	YR2005	195.794.989.095.165	116.197.351.103.819	372.431.772.568.329	8.9	402.717.475.798.111	12.9	16.9	39.3	22	30.3
Cyprus	CYP	2006	YR2006	201.908.533.061.154	187.239.293.488.876	451.018.331.970.239	8.8	3.475.773.290.581	12.8	16.7	40.1	21.6	31.1
Cyprus	CYP	2007	YR2007	219.271.218.236.598	229.545.493.977.526	482.071.054.104.954	8.7	318.614.894.712.957	12.6	16.7	40	21.9	31.1
Cyprus	CYP	2008	YR2008	257.245.080.500.894	233.795.303.123.866	386.396.605.828.119	8.6	402.441.787.894.125	12.5	16.6	40.6	21.6	31.7
Cyprus	CYP	2009	YR2009	276.873.644.469.435	283.058.284.330.053	-177.245.075.064.724	8.5	0.0234182853403411	12.5	16.4	40.8	21.9	32.1
Cyprus	CYP	2010	YR2010	286.478.924.324.464	135.968.052.741.596	131.777.780.421.926	8.6	200.810.407.709.679	12.8	16.4	40.5	21.8	31.5
Cyprus	CYP	2011	YR2011	298.751.716.832.817	-119.205.449.495.203	0.321196000023491	8.4	190.899.973.518.057	12.5	16.2	41.3	21.6	32.6
Cyprus	CYP	2012	YR2012	31.661.339.066.276	496.005.672.793.727	-305.827.402.135.233	8	189.270.897.265.359	12.1	15.8	42.7	21.4	34.3
Cyprus	CYP	2013	YR2013	306.105.123.894.049	-602.516.643.449.989	-593.395.844.780.011	7.7	-105.104.080.496.734	11.4	15.1	45.1	20.7	37
Cyprus	CYP	2014	YR2014	306.045.132.597.595	-754.354.504.948.983	-140.376.777.175.135	7.6	-156.520.106.719.093	11.8	15.8	43.6	21.3	35.6
Estonia	EST	2005	YR2005	679.877.377.752.365	312.729.800.207.021	937.371.145.418.146	7.3	607.170.491.201.856	12.7	16.3	41.3	22.3	33.5
Estonia	EST	2006	YR2006	806.095.799.083.925	221.218.118.541.304	102.718.840.891.112	7.6	887.790.505.210.914	12.6	16.3	41.7	21.9	33.7
Estonia	EST	2007	YR2007	899.167.349.551.399	342.904.314.533.097	774.819.236.807.274	8	11.510.459.064.609	13	16.8	39.3	23	31.2
Estonia	EST	2008	YR2008	951.670.550.217.903	187.325.028.480.747	-541.945.589.002.262	7.8	749.280.754.965.731	13	16.6	40.1	22.6	31.9
Estonia	EST	2009	YR2009	103.521.423.597.436	186.556.140.988.628	-147.244.039.059.598	7.7	0.430687766155174	13.3	16.9	39.6	22.5	31.4
Estonia	EST	2010	YR2010	964.765.267.982.851	259.280.332.667.143	225.907.589.383.118	7.2	17.358.840.472.963	13.3	17	39.7	22.8	32
Estonia	EST	2011	YR2011	824.772.140.122.253	111.855.680.353.608	75.973.002.092.456	7.3	526.089.642.358.522	13	16.6	40.3	22.8	32.5
Estonia	EST	2012	YR2012	753.168.726.862.107	178.804.073.948.022	430.725.898.765.326	7.3	315.975.211.224.848	12.9	16.5	40.7	22.6	32.9
Estonia	EST	2013	YR2013	710.902.312.615.032	10.986.460.963.363	193.654.344.434.879	6.8	35.557.432.305.834	12.2	15.9	42.4	22.6	35.1
Estonia	EST	2014	YR2014	711.260.941.853.368	175.108.721.917.893	289.071.096.799.094	7	147.205.041.466.245	12.3	16.1	42.1	22.5	34.6
Finland	FIN	2005	YR2005	913.484.642.946.218	108.758.284.083.114	277.995.503.098.056	9.5	0.923616619615444	13.8	17.3	37.2	22.2	27.6
Finland	FIN	2006	YR2006	932.560.510.734.935	463.161.350.399.188	405.519.744.386.183	9.2	0.912454382023071	13.7	17.3	37.3	22.4	28
Finland	FIN	2007	YR2007	988.101.873.686.918	219.850.661.550.099	518.480.080.885.459	9.2	276.503.957.075.187	13.7	17.3	37.6	22.3	28.3
Finland	FIN	2008	YR2008	130.094.315.759.043	194.031.765.978.441	0.720668487409924	9.3	307.688.468.209.999	13.8	17.3	37.2	22.4	27.8
Finland	FIN	2009	YR2009	135.927.945.246.342	-882.651.476.694.336	-826.903.655.827.105	9.3	187.741.443.646.495	13.9	17.5	36.9	22.4	27.5
Finland	FIN	2010	YR2010	152.249.064.671.299	122.264.376.155.386	299.233.750.220.186	9.2	0.350772528158473	13.8	17.4	37	22.6	27.7
Finland	FIN	2011	YR2011	189.430.027.073.841	-600.816.015.438.709	257.081.774.452.163	9.3	258.402.376.113.804	13.9	17.3	37.1	22.4	27.6
Finland	FIN	2012	YR2012	165.419.208.881.192	493.284.323.540.106	-142.618.935.959.564	9.4	295.356.439.473.966	14	17.5	36.7	22.5	27.1
Finland	FIN	2013	YR2013	142.059.034.710.679	-494.070.710.597.727	-0.758036294820087	9.3	255.171.566.390.663	14	17.5	36.6	22.6	27.2
Finland	FIN	2014	YR2014	164.406.688.924.146	172.435.983.422.252	-0.631728090593853	9.4	169.289.024.801.758	14.1	17.5	36.4	22.5	26.8
Greece	GRC	2005	YR2005	106.687.178.079.611	689.960.219.877.322	0.599142055474161	6.9	22.403.194.873.346	12	16.7	41.7	22.8	34.6
Greece	GRC	2006	YR2006	107.523.324.070.151	540.923.958.064.895	56.524.337.201.578	6.7	349.504.261.240.676	11.9	16.7	42	22.6	35.1
Greece	GRC	2007	YR2007	112.091.990.180.569	195.766.998.865.975	327.374.685.710.487	7	342.266.680.512.333	12.3	17	41.1	22.6	34
Greece	GRC	2008	YR2008	115.480.618.926.843	573.340.874.396.952	-0.335172557312063	7.1	434.458.323.204.079	12.5	16.9	40.9	22.5	33.6
Greece	GRC	2009	YR2009	115.659.564.558.291	276.258.678.218.351	-43.007.336.666.282	7	256.977.112.128.109	12.5	17.1	40.9	22.5	33.6
Greece	GRC	2010	YR2010	14.755.911.362.408	533.689.272.693.432	-54.790.371.077.553	6.7	0.673371802701993	12.3	17.1	41	22.9	34.1
Greece	GRC	2011	YR2011	156.009.638.526.013	109.209.192.376.527	-913.249.415.322.949	6.1	0.798356140921257	12.2	17.4	41	23.3	34.8
Greece	GRC	2012	YR2012	139.119.018.497.843	166.332.717.279.259	-730.049.393.532.073	5.8	-0.37039202748511	11.7	17.2	42.1	23.2	36.3
Greece	GRC	2013	YR2013	137.051.281.082.794	294.541.793.839.579	-324.142.502.506.591	5.9	-235.229.999.390.511	11.8	16.9	42.2	23.3	36.1
Greece	GRC	2014	YR2014	137.783.415.875.372	269.679.637.889.563	0.739777123496509	5.9	-1.832.091.215.769	11.9	17	41.8	23.3	35.8
Ireland	IRL	2005	YR2005	15.271.019.503.486	470.284.647.791.666	600.635.251.295.645	7.7	281.938.266.837.591	12.4	16.2	41.8	21.9	33.8
Ireland	IRL	2006	YR2006	172.592.419.280.155	22.080.936.155.176	552.165.290.840.958	7.8	301.237.544.557.328	12.4	16.4	40.8	22.5	32.7
Ireland	IRL	2007	YR2007	234.095.298.723.507	599.410.526.597.903	520.877.181.288.417	8.2	132.063.654.531.471	12.8	16.5	40.3	22.3	32
Ireland	IRL	2008	YR2008	230.646.485.973.416	232.585.636.140.438	-393.593.242.703.035	8.2	-0.888854150694172	13	17	39.3	22.6	30.9
Ireland	IRL	2009	YR2009	233.602.726.874.835	539.352.642.251.133	-462.678.807.100.244	7.7	-501.046.007.788.321	12.6	16.7	40.7	22.3	32.7
Ireland	IRL	2010	YR2010	236.132.191.860.937	377.636.385.731.618	180.165.714.806.925	7.6	-322.139.513.118.728	12.7	16.9	40.2	22.5	32.3
Ireland	IRL	2011	YR2011	227.475.121.044.575	236.649.184.347.125	298.499.236.523.338	7.6	-0.374512191476811	12.8	16.8	40.3	22.4	32.3
Ireland	IRL	2012	YR2012	204.740.646.420.193	409.616.423.152.272	0.0371530424689013	7.8	206.857.321.823.625	12.6	16.8	40.6	22.3	32.5
Ireland	IRL	2013	YR2013	191.939.715.328.572	499.601.347.522.324	163.882.057.996.349	7.4	104.238.376.411.026	12.5	16.7	41.2	22.3	33.4
Ireland	IRL	2014	YR2014	160.913.215.096.126	867.656.145.784.911	832.838.728.950.549	7.9	-0.397848767708822	12.8	16.7	40.1	22.5	31.9
Latvia	LVA	2005	YR2005	..	810.406.848.732.187	10.697.037.062.198	5.9	111.737.030.469.851	11.3	15.3	45.5	22	39
Latvia	LVA	2006	YR2006	..	170.497.876.968.467	118.893.853.670.819	6.8	124.097.091.315.114	11.7	16.2	42.5	22.8	35.5
Latvia	LVA	2007	YR2007	..	27.137.400.449.203	997.926.932.969.439	6.4	201.160.050.010.023	11	15.9	44.1	22.7	37.5
Latvia	LVA	2008	YR2008	..	143.268.854.437.671	-354.764.422.461.135	6.1	11.751.464.469.452	11.3	16.1	43.5	22.9	37.2
Latvia	LVA	2009	YR2009	..	-323.914.220.913.188	-144.016.917.831.409	5.9	-967.966.060.430.049	12.3	16.5	42.6	22.7	36
Latvia	LVA	2010	YR2010	909.694.963.412.903	435.492.262.776.266	-394.067.030.557.116	6.2	-0.811835683705496	12.3	17.1	41.7	22.7	35
Latvia	LVA	2011	YR2011	792.158.268.523.183	150.049.048.122.611	638.102.125.886.553	6.4	639.465.445.331.302	12.1	16.4	42.8	22.2	35.8
Latvia	LVA	2012	YR2012	638.958.570.637.249	107.866.240.844.526	403.462.837.497.035	6.5	361.573.046.487.467	12.2	16.5	42.3	22.5	35.2
Latvia	LVA	2013	YR2013	601.404.872.321.146	98.950.324.598.639	257.968.692.867.449	6.5	169.863.883.628.886	12.2	16.2	42.5	22.6	35.5
Latvia	LVA	2014	YR2014	537.634.385.899.453	939.828.387.756.663	191.255.004.594.015	6.6	177.630.952.025.403	12.3	16.3	42.2	22.7	35.1
Lithuania	LTU	2005	YR2005	..	845.877.986.178.997	772.740.791.807.141	6.4	689.836.194.418.297	12.5	16.5	42.6	22	35.3
Lithuania	LTU	2006	YR2006	..	2067072857.36	740.644.435.525.719	6.9	674.398.763.685.922	12.5	16.5	42	22.1	34.4
Lithuania	LTU	2007	YR2007	..	229.346.962.676.146	110.869.543.879.434	6.9	856.798.754.503.727	12.5	16.5	41.8	22.4	34.6
Lithuania	LTU	2008	YR2008	..	190.754.146.284.271	262.807.796.060.045	6.6	970.480.695.345.725	12.2	16.3	42.8	22.1	35.7
Lithuania	LTU	2009	YR2009	..	179.806.487.698.093	-148.141.633.163.462	5.7	-329.513.406.632.091	11.8	16.4	43.4	22.7	37.2
Lithuania	LTU	2010	YR2010	6.376.914.918.636	865.322.434.925.065	163.981.964.913.999	6.5	237.852.336.903.453	12.5	17.5	40.3	23.2	33.6
Lithuania	LTU	2011	YR2011	569.650.433.672.452	15.379.884.686.862	60.493.534.966.771	7.1	522.208.753.521.922	12.8	17.2	39.9	23	32.5
Lithuania	LTU	2012	YR2012	519.487.576.063.593	575.641.203.785.696	383.490.186.876.784	6.5	268.993.549.071.055	12.2	16.6	42	22.6	35.1
Lithuania	LTU	2013	YR2013	508.827.293.594.308	708.289.356.991.345	350.682.568.328.229	6.7	140.316.748.344.434	12	16.3	42.5	22.4	35.3
Lithuania	LTU	2014	YR2014	452.828.042.719.944	504.472.635.102.487	349.501.616.468.532	6	100.666.377.129.512	11.6	16	44.1	22.3	37.7
Luxembourg	LUX	2005	YR2005	128.500.378.275.278	464.476.948.341.036	31.724.427.328.915	8.2	419.570.228.884.673	13	17.1	39.5	22.3	30.8
Luxembourg	LUX	2006	YR2006	152.095.134.810.252	322.195.346.406.721	517.848.596.556.991	8.2	703.551.641.945.961	12.9	17.1	39.5	22.4	31
Luxembourg	LUX	2007	YR2007	184.438.091.194.324	-296.794.258.100.454	835.455.320.905.589	8.3	149.013.629.620.111	12.9	17	39.7	22.2	31.1
Luxembourg	LUX	2008	YR2008	189.854.954.214.005	711.711.282.821.255	-127.958.557.243.456	7.8	388.371.578.803.711	12.6	16.7	40.8	22.1	32.6
Luxembourg	LUX	2009	YR2009	191.959.669.971.079	272.551.542.489.126	-435.860.700.532.295	8	139.801.769.463.668	12.7	17.2	39.2	22.9	31.2
Luxembourg	LUX	2010	YR2010	221.117.068.296.302	391.285.287.631.863	486.496.856.032.889	8.2	361.672.247.280.617	12.9	17.3	38.8	22.9	30.5
Luxembourg	LUX	2011	YR2011	209.843.027.555.468	884.315.671.678.101	253.923.483.936.856	7.8	477.359.094.506.021	12.4	17	39.9	23	32
Luxembourg	LUX	2012	YR2012	204.669.490.306.457	143.003.092.661.642	-0.352519360092558	7.3	255.649.680.262.975	11.8	16.5	41.7	22.7	34.3
Luxembourg	LUX	2013	YR2013	188.231.888.645.828	104.811.865.754.774	365.437.038.505.787	7.6	169.592.276.494.338	12.5	17	39.7	23.2	32
Luxembourg	LUX	2014	YR2014	192.603.126.224.297	-105.342.622.235.254	577.191.588.158.121	7.9	164.584.243.682.373	12.9	17.2	39.1	22.9	31.2
Portugal	PRT	2005	YR2005	141.973.127.581.258	442.891.406.758.318	0.766785012747761	6.7	332.984.057.545.059	11.3	15	46.1	21	38.5
Portugal	PRT	2006	YR2006	152.990.054.690.047	131.985.821.296.572	15.530.532.563.582	6.7	318.539.485.481.742	11.1	15.1	45.4	21.7	38.1
Portugal	PRT	2007	YR2007	162.963.310.225.322	60.261.801.083.206	249.200.131.787.468	6.8	297.906.750.306.322	11.6	15.7	44.2	21.7	36.8
Portugal	PRT	2008	YR2008	175.741.858.525.864	782.137.669.700.669	0.199272801495383	6.9	173.771.536.497.524	11.7	15.8	44.1	21.6	36.6
Portugal	PRT	2009	YR2009	192.272.145.982.241	557.889.946.917.434	-297.810.426.715.289	7.2	109.632.299.878.297	12	16.3	42.5	22	34.9
Portugal	PRT	2010	YR2010	205.940.302.988.812	845.578.521.063.603	189.869.117.560.959	7	0.643476059798616	11.8	15.9	43.4	21.9	35.8
Portugal	PRT	2011	YR2011	204.786.290.393.857	98.176.806.453.786	-182.685.235.062.658	6.8	-0.269573460016133	11.9	15.8	43.8	21.6	36.3
Portugal	PRT	2012	YR2012	201.248.270.399.271	219.766.230.378.039	-40.282.567.482.528	6.4	-0.397566920874283	12.1	16.2	43.2	22.1	36
Portugal	PRT	2013	YR2013	18.855.421.916.362	108.048.861.608.827	-113.015.464.313.033	6.3	226.704.690.122.463	12	16.3	43.1	22.3	36.2
Portugal	PRT	2014	YR2014	173.734.482.199.478	131.130.495.826.644	0.893185924018695	6.5	0.750279540681319	12.2	16.4	42.6	22.3	35.6
Slovak Republic	SVK	2005	YR2005	..	392.468.200.920.203	675.096.083.398.836	8.7	244.091.780.390.056	13.9	17.5	38.3	21.5	29.3
Slovak Republic	SVK	2006	YR2006	503.867.304.781.241	569.644.044.551.643	845.288.774.773.587	9.3	291.903.518.143.566	14.8	18.3	35.5	22.1	25.8
Slovak Republic	SVK	2007	YR2007	512.868.343.300.417	505.952.785.323.093	107.995.770.486.887	9.5	112.914.522.146.879	15.1	18.5	34.5	22.3	24.7
Slovak Republic	SVK	2008	YR2008	541.341.384.186.501	464.189.869.734.796	562.977.902.491.171	9.1	283.459.845.436.124	14.7	18.2	35.6	22.4	26
Slovak Republic	SVK	2009	YR2009	653.009.858.432.105	151.906.124.238.214	-54.225.423.133.296	8.6	-11.648.692.528.919	14.4	18.2	36.1	22.7	27.2
Slovak Republic	SVK	2010	YR2010	645.797.150.072.078	211.745.735.234.649	504.171.666.503.819	8.5	0.485295446901546	14.5	18.2	36.1	22.7	27.3
Slovak Republic	SVK	2011	YR2011	658.615.755.784.191	542.662.404.250.629	281.909.951.757.757	8.7	16.476.786.575.424	14.5	18.4	35.4	23	26.5
Slovak Republic	SVK	2012	YR2012	629.619.369.286.873	177.675.394.066.048	165.714.868.719.411	8.6	126.175.549.629.188	14.6	18.7	34.9	23.2	26.1
Slovak Republic	SVK	2013	YR2013	620.181.458.312.595	10.038.103.088.793	149.064.643.782.009	8.3	0.518528057113102	14.1	18.3	36.5	22.9	28.1
Slovak Republic	SVK	2014	YR2014	651.957.832.550.503	-36.244.677.878.493	275.033.501.688.633	8.4	-0.16008964768686	14.7	19	34.5	23.5	26.1
